Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,78.919998,79.010002,78.129997,78.239998,65.809044,8451400
2015-07-01,78.389999,79.769997,78.120003,79.720001,67.053909,8868000
2015-07-02,80.010002,80.349998,79.769997,79.930000,67.230537,6602500
2015-07-06,79.610001,80.220001,79.500000,80.050003,67.331467,6601200
2015-07-07,80.059998,81.830002,80.059998,81.720001,68.736130,11690400
2015-07-08,81.209999,81.690002,80.889999,80.989998,68.122131,6724700
2015-07-09,81.750000,82.000000,80.519997,80.660004,67.844566,10419800
2015-07-10,81.230003,81.360001,80.760002,80.949997,68.088493,6892500
2015-07-13,81.519997,82.040001,81.339996,81.910004,68.895943,7332900
2015-07-14,82.040001,82.459999,81.980003,82.040001,69.005302,6119500
2015-07-15,81.910004,82.320000,81.839996,82.150002,69.097816,6673700
2015-07-16,82.449997,82.550003,82.099998,82.300003,69.223991,6623400
2015-07-17,81.889999,82.379997,81.599998,82.239998,69.173515,5827300
2015-07-20,82.089996,82.349998,82.000000,82.190002,69.131477,5012900
2015-07-21,82.010002,82.129997,81.370003,81.629997,68.660431,7512400
2015-07-22,81.029999,81.300003,80.669998,80.830002,68.544258,6106400
2015-07-23,80.830002,80.889999,80.139999,80.699997,68.434013,5380900
2015-07-24,80.510002,80.730003,80.230003,80.290001,68.086319,5660800
2015-07-27,79.830002,80.070000,79.430000,79.970001,67.814964,8613600
2015-07-28,80.139999,80.660004,79.910004,80.230003,68.035454,8649900
2015-07-29,80.260002,80.989998,80.160004,80.620003,68.366188,8921500
2015-07-30,79.400002,79.480003,77.150002,77.389999,65.627121,22067800
2015-07-31,77.629997,77.739998,76.660004,76.699997,65.041992,11877200
2015-08-03,76.510002,77.089996,76.010002,76.400002,64.787613,9511300
2015-08-04,76.029999,76.339996,75.750000,75.910004,64.372093,13369100
2015-08-05,76.050003,76.540001,75.750000,75.769997,64.253365,10895400
2015-08-06,76.010002,76.010002,75.250000,75.739998,64.227905,9353300
2015-08-07,75.589996,75.720001,75.339996,75.480003,64.007454,10045400
2015-08-10,75.949997,76.500000,75.800003,76.379997,64.770622,9165900
2015-08-11,76.040001,76.449997,75.809998,76.220001,64.634972,7491900
2015-08-12,75.889999,76.430000,75.339996,76.389999,64.779121,10397700
2015-08-13,76.489998,76.510002,75.629997,75.779999,64.261833,5948000
2015-08-14,75.739998,75.809998,75.379997,75.620003,64.126160,5586900
2015-08-17,75.809998,75.809998,74.750000,75.529999,64.049812,8683900
2015-08-18,75.580002,75.800003,75.000000,75.129997,63.710636,7445900
2015-08-19,74.930000,74.930000,74.019997,74.120003,62.854156,9865300
